Beardy, male: 1, female: 0, ratio: 1
Bearer, male: 3, female: 0, ratio: 1
Beasley, male: 1, female: 0, ratio: 1
Beata, male: 0, female: 1, ratio: 0.0
Beaumont, male: 1, female: 0, ratio: 1
Beauty, male: 0, female: 3, ratio: 0.0
Bebop, male: 1, female: 0, ratio: 1
Bechtel, male: 1, female: 0, ratio: 1
Beck, male: 0, female: 1, ratio: 0.0
Becker, male: 0, female: 1, ratio: 0.0
Bedford, male: 1, female: 0, ratio: 1
Beekeeper, male: 1, female: 0, ratio: 1
Beerman, male: 1, female: 0, ratio: 1
Behaviorist, male: 2, female: 0, ratio: 1
Belarusian, male: 4, female: 0, ratio: 1
Belgrano, male: 1, female: 0, ratio: 1
Believer, male: 0, female: 1, ratio: 0.0
Belizean, male: 1, female: 0, ratio: 1
Bell, male: 2, female: 0, ratio: 1
Bellmaker, male: 1, female: 0, ratio: 1
Benedict, male: 1, female: 0, ratio: 1
Benedictine, male: 3, female: 0, ratio: 1
Benenson, male: 0, female: 1, ratio: 0.0
Bengali, male: 2, female: 0, ratio: 1
Bengu, male: 1, female: 0, ratio: 1
Bennett, male: 1, female: 0, ratio: 1
Bergantino, male: 1, female: 0, ratio: 1
Berger, male: 1, female: 0, ratio: 1
Berlin, male: 2, female: 0, ratio: 1
Bermudian, male: 2, female: 0, ratio: 1
Bernal, male: 1, female: 0, ratio: 1
Bessarabian, male: 1, female: 0, ratio: 1
Besse, male: 1, female: 0, ratio: 1
Besson, male: 1, female: 0, ratio: 1
Beswick, male: 1, female: 0, ratio: 1
Bey, male: 2, female: 0, ratio: 1
Bhikkhu, male: 2, female: 0, ratio: 1
Bhotia, male: 1, female: 0, ratio: 1
Bhushan, male: 1, female: 0, ratio: 1
Biathlete, male: 21, female: 30, ratio: 0.7
Bibliographer, male: 6, female: 0, ratio: 1
Bibliophile, male: 2, female: 0, ratio: 1
Bicycle, male: 1, female: 0, ratio: 1
Bike, male: 0, female: 2, ratio: 0.0
Biker, male: 7, female: 3, ratio: 2.3333333333333335
Billiards, male: 1, female: 0, ratio: 1
Billionaire, male: 5, female: 2, ratio: 2.5
Biochemist, male: 30, female: 7, ratio: 4.285714285714286
Bioengineer, male: 1, female: 0, ratio: 1
Bioethicist, male: 2, female: 1, ratio: 2.0
Biogerontologist, male: 3, female: 0, ratio: 1
Biographer, male: 14, female: 3, ratio: 4.666666666666667
Biography, male: 1, female: 0, ratio: 1
Biologist, male: 87, female: 30, ratio: 2.9
Biology, male: 1, female: 0, ratio: 1
Biometrician, male: 1, female: 0, ratio: 1
Biophysicist, male: 5, female: 3, ratio: 1.6666666666666667
Biotechnologist, male: 0, female: 1, ratio: 0.0
Birder, male: 1, female: 0, ratio: 1
Birkenhead, male: 0, female: 1, ratio: 0.0
Bishop, male: 507, female: 9, ratio: 56.333333333333336
Bishop-elect, male: 1, female: 0, ratio: 1
Bishops, male: 1, female: 0, ratio: 1
Biurists, male: 1, female: 0, ratio: 1
Blaauw, male: 1, female: 0, ratio: 1
Black, male: 2, female: 0, ratio: 1
Blackfriar, male: 1, female: 0, ratio: 1
Blacksmith, male: 5, female: 0, ratio: 1
Blake, male: 0, female: 1, ratio: 0.0
Blass, male: 1, female: 0, ratio: 1
Blatherwick, male: 0, female: 1, ratio: 0.0
Bleichroder, male: 1, female: 0, ratio: 1
Blenkinsop, male: 1, female: 0, ratio: 1
Blogger, male: 12, female: 8, ratio: 1.5
Bloomington, male: 0, female: 1, ratio: 0.0
Blouin, male: 1, female: 0, ratio: 1
Blower, male: 1, female: 0, ratio: 1
Bluegrass, male: 1, female: 0, ratio: 1
Blues, male: 10, female: 5, ratio: 2.0
Bluestocking, male: 0, female: 1, ratio: 0.0
Board, male: 2, female: 3, ratio: 0.6666666666666666
Boberg, male: 1, female: 0, ratio: 1
Bobsledder, male: 71, female: 8, ratio: 8.875
Body, male: 1, female: 1, ratio: 1.0
Bodyboarder, male: 2, female: 1, ratio: 2.0
Bodybuilder, male: 17, female: 11, ratio: 1.5454545454545454
Bodyguard, male: 2, female: 0, ratio: 1
Boer, male: 1, female: 0, ratio: 1
Bogaert, male: 1, female: 0, ratio: 1
Bogomolov, male: 1, female: 0, ratio: 1
Bogoraz, male: 1, female: 0, ratio: 1
Bohush, male: 0, female: 1, ratio: 0.0
Bolero, male: 1, female: 0, ratio: 1
Bolivian, male: 3, female: 0, ratio: 1
Bollywood, male: 0, female: 1, ratio: 0.0
Bologna, male: 1, female: 0, ratio: 1
Bolshevik, male: 4, female: 1, ratio: 4.0
Bolton, male: 1, female: 0, ratio: 1
Bomber, male: 1, female: 1, ratio: 1.0
Bon, male: 1, female: 0, ratio: 1
Book, male: 1, female: 0, ratio: 1
Bookbinder, male: 1, female: 0, ratio: 1
Bookmaker, male: 1, female: 0, ratio: 1
Bookseller, male: 12, female: 2, ratio: 6.0
Boom, male: 1, female: 0, ratio: 1
Boonstra, male: 0, female: 1, ratio: 0.0
Bootlegger, male: 2, female: 0, ratio: 1
Booy, male: 1, female: 0, ratio: 1
Bop, male: 4, female: 1, ratio: 4.0
Bor, male: 1, female: 0, ratio: 1
Bordin, male: 1, female: 0, ratio: 1
Bosetti, male: 0, female: 1, ratio: 0.0
Bosnian, male: 3, female: 0, ratio: 1
Boss, male: 11, female: 0, ratio: 1
Bossert, male: 1, female: 0, ratio: 1
Botanist, male: 149, female: 27, ratio: 5.518518518518518
Bottaro, male: 1, female: 0, ratio: 1
Bottler, male: 1, female: 0, ratio: 1
Bourdet, male: 1, female: 0, ratio: 1
Bourne, male: 1, female: 0, ratio: 1
Boutherin, male: 1, female: 0, ratio: 1
Bovee, male: 1, female: 0, ratio: 1
Bowler, male: 10, female: 8, ratio: 1.25
Bowyer, male: 1, female: 0, ratio: 1
Boxer, male: 377, female: 23, ratio: 16.391304347826086
Boy, male: 11, female: 0, ratio: 1
Boyar, male: 1, female: 0, ratio: 1
Boyscout, male: 1, female: 0, ratio: 1
Braden, male: 1, female: 0, ratio: 1
Braithwaite, male: 1, female: 0, ratio: 1
Branch, male: 1, female: 0, ratio: 1
Brand, male: 3, female: 0, ratio: 1
Brandt, male: 1, female: 0, ratio: 1
Brass, male: 1, female: 0, ratio: 1
Breeder, male: 2, female: 2, ratio: 1.0
Bremen, male: 0, female: 1, ratio: 0.0
Brevet, male: 1, female: 0, ratio: 1
Brewer, male: 8, female: 0, ratio: 1
Bricklayer, male: 4, female: 0, ratio: 1
